4550	10081	1
4550	10081	1
4550	474	1
4550	10081	1
1894	3161	1
1894	12082	1
1894	733	1
1894	733	1
1894	733	1
1894	733	1
1894	733	1
1894	9053	1
1188	8361	1
1188	3899	1
1188	7691	1
1188	10842	1
1188	8002	1
1188	7549	1
1188	8002	1
2239	3737	1
2239	2280	1
2239	2280	1
2239	8536	1
2239	8991	1
2239	3737	1
2756	8643	1
2756	1304	1
2756	5189	1
2756	1682	1
2756	4743	1
2756	733	1
2756	11667	1
2756	10482	1
2756	10189	1
2756	10058	1
2756	6110	1
2756	12174	1
2756	12955	1
2756	10659	1
2756	689	1
5687	13748	1
5687	11914	1
5687	11914	1
5687	2700	1
5687	9533	1
5687	5333	1
5687	10081	1
5687	5276	1
5687	1850	1
5687	159	1
5727	10793	1
5727	13361	1
5727	12523	1
5727	13361	1
5727	4975	1
5727	4449	1
1910	1350	1
1910	12576	1
1910	1350	1
1910	1350	1
1910	13107	1
1910	4475	1
1910	1350	1
1014	7513	1
1014	1131	1
5714	13350	1
116	6713	1
3015	7917	1
3015	1099	1
3015	1177	1
519	6709	1
519	6709	1
884	10109	1
884	674	1
884	674	1
884	1130	1
884	7506	1
884	7506	1
884	7506	1
884	7506	1
884	857	1
884	11195	1
6130	12633	1
6130	12234	1
5550	4590	1
5550	12492	1
5550	13733	1
5550	2410	1
5550	2410	1
5550	2410	1
5550	2410	1
5550	2410	1
5550	7865	1
5550	5239	1
6481	350	1
6481	11686	1
6481	350	1
6481	5197	1
6481	8768	1
6481	4829	1
6481	6843	1
6481	6843	1
6481	11056	1
6481	5004	1
6481	5504	1
6481	5069	1
6481	1287	1
6481	7017	1
6481	8409	1
6481	6127	1
6481	11517	1
6481	11518	1
6481	6843	1
6481	6843	1
6481	6843	1
3461	11466	1
3461	3044	1
3461	8067	1
3461	12753	1
3461	9068	1
3461	9068	1
3461	2556	1
6190	11942	1
6190	6053	1
6190	13101	1
6190	11434	1
6190	6053	1
6190	6261	1
27	10793	1
27	10793	1
27	6098	1
27	5007	1
27	5007	1
27	2002	1
27	12893	1
27	2427	1
27	2427	1
27	12893	1
27	2427	1
27	9278	1
27	7466	1
27	6098	1
4181	12406	1
5163	9048	1
5163	12804	1
5163	12804	1
5163	12804	1
5163	10372	1
5163	1792	1
6289	7506	1
2725	11069	1
923	4462	1
923	4461	1
923	10076	1
923	5820	1
923	5820	1
923	9431	1
4537	12746	1
4537	8153	1
4537	7506	1
2887	11865	1
2887	5391	1
2887	5391	1
2887	5391	1
2887	9131	1
2887	9131	1
2887	9131	1
2887	9131	1
2887	9131	1
2887	13503	1
2887	13503	1
2887	9131	1
2887	9131	1
76	7036	1
76	10737	1
4277	11409	1
4277	13639	1
4277	13639	1
4277	13639	1
4277	13639	1
4277	9193	1
4277	10411	1
68	8991	1
68	13067	1
68	8573	1
68	8991	1
68	8991	1
5025	13562	1
5025	7631	1
5025	683	1
5025	6058	1
5025	6859	1
5025	9671	1
5025	1882	1
5025	13562	1
5025	12700	1
667	13568	1
667	436	1
667	436	1
667	1163	1
667	12342	1
667	3668	1
667	9969	1
667	4518	1
667	9982	1
667	7405	1
2175	9384	1
2175	9384	1
2175	2339	1
2175	6032	1
2175	13725	1
2175	9384	1
3747	4746	1
3747	6760	1
3747	6760	1
3747	6760	1
3747	3618	1
3747	9434	1
1561	6173	1
1561	9772	1
1561	9772	1
1561	6098	1
5985	12491	1
5985	513	1
1759	5284	1
1759	5284	1
1759	5284	1
1759	5284	1
1759	7732	1
1759	11108	1
5297	13059	1
5297	6168	1
5362	9911	1
5362	4975	1
5362	9911	1
